"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 09 10:09:25 IST 2022","Wed Mar 09 10:09:25 IST 2022","0","AUTOMATION.21Feb2022","PYTest","Testpy","","","test_first",""
"passed","Wed Mar 09 10:09:25 IST 2022","Wed Mar 09 10:09:25 IST 2022","0","AUTOMATION.21Feb2022","PYTest","Testpy","","","test_second",""
